"Gadwall",54,28,4,64,25,30,29,74,52,88,85,7,90,94,91,34,129,65,150,39,46,216,65,74,72,64,29,129,278,144,176,86,26,277,200,57,51,20,99,2,40,24,8,9,15,30,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0
"American Wigeon",2,2,0,0,10,0,"cw",0,0,1,0,0,0,"cw",0,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,"cw",0,2,0,0,0,0,1,1,1,2,0,"cw",2,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,"cw",0,0,0,0,0,0,0
"American Black Duck",210,202,333,279,153,327,264,452,402,79,764,242,636,639,273,228,417,222,294,376,176,446,203,205,535,397,329,650,598,466,291,589,313,293,650,500,298,380,330,360,1170,260,142,106,180,260,91,39,200,180,200,380,130,200,110,151,148,140,197,108,128,83,385,247,30,172,99,55,60,44,2,40,70,16,370,273,241,215,250,150,200,450,400,452,63,6,28,0,0,0,0,0
"Mallard",2888,2777,4425,5251,2239,4836,3485,5352,3835,777,11198,4608,6674,7956,2648,2031,4274,2618,2456,2351,2452,2321,1511,1223,1417,2081,1428,1757,2271,1198,887,2214,838,864,1340,1490,408,1180,1840,1430,3570,900,324,115,190,170,92,65,270,150,440,200,240,200,270,194,139,39,187,118,113,161,233,108,31,98,23,12,0,8,0,0,3,0,18,10,23,10,3,0,4,4,1,5,3,0,0,0,0,0,0,0
"American Black Duck x Mallard (hybrid)",8,2,4,3,4,4,4,45,48,44,7,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blue-winged Teal",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Shoveler",126,227,195,285,179,36,32,60,47,21,30,5,52,27,44,1,134,45,75,23,9,47,4,3,0,2,4,11,15,14,0,10,2,41,24,2,0,0,0,1,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Pintail",3,2,2,4,0,12,12,30,10,6,55,2,41,43,72,45,39,42,40,13,31,42,28,38,27,24,32,37,58,46,7,36,8,14,7,30,10,5,6,6,13,4,2,0,1,1,2,0,5,0,0,6,0,0,1,0,1,0,0,0,0,0,"cw","cw",0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,"cw",0,0,1,6,0,0,0,0,0,0,0
"Mallard x Northern Pintail (hybrid)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Green-winged Teal",176,0,0,0,0,0,28,0,0,4,2,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,42,112,9,0,23,55,21,28,2,0,12,9,"cw",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
"Green-winged Teal (American)",0,27,12,38,23,4,0,28,36,0,0,25,32,15,0,2,24,50,39,11,0,6,1,0,10,0,0,1,0,31,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canvasback",195,84,19,190,1073,98,154,87,22,103,160,150,195,339,393,73,121,321,149,84,43,77,75,50,50,25,0,51,38,19,17,26,4,29,39,7,13,1,15,14,7,9,0,5,3,19,0,0,5,1,7,11,2,0,6,2,"cw",11,12,1,17,14,6,1,1,3,0,4,1,0,0,3,0,0,4,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Redhead",42,11,7,5,13,50,18,23,4,45,52,37,8,5,58,40,72,367,88,13,17,41,2,1,6,0,6,8,0,27,4,12,16,2,80,27,70,0,42,58,43,20,2,22,0,28,1,2,3,0,1,10,1,1,0,"cw",1,5,3,1,0,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
"Ring-necked Duck",11,38,4,95,25,151,124,19,82,71,74,53,39,36,205,52,110,15,49,0,2,20,1,5,9,1,0,0,0,0,1,"cw",0,0,"cw",1,1,0,1,0,0,1,1,1,0,3,1,0,1,2,0,3,2,0,1,1,1,1,0,"cw",0,0,1,"cw",0,0,2,"cw",4,0,0,0,0,2,1,0,0,1,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0
"Tufted Duck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greater Scaup",2077,3429,1156,2057,3591,4874,14584,4183,2151,629,7194,10861,11401,13131,7147,5886,17556,6256,9370,61,1369,14,2494,668,707,233,620,285,856,974,645,202,429,200,360,940,200,270,800,1300,690,278,76,140,41,130,35,32,66,69,9,30,75,53,26,54,164,250,161,127,303,895,762,925,36,142,114,45,220,118,"cw",14,105,215,350,510,500,167,600,24,"cw",200,2000,158,460,320,0,0,0,0,0,0
"Lesser Scaup",488,182,216,1208,300,858,742,1162,1238,1508,2293,533,1758,1094,478,4679,3287,1121,2012,690,2244,1054,803,902,541,140,146,435,459,100,300,121,31,200,60,200,12,15,20,8,10,6,2,3,2,1,1,1,1,0,0,1,0,1,2,2,0,1,1,1,10,5,320,4,0,1,4,0,0,31,0,7,0,80,0,1,14,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0
"Greater/Lesser Scaup",0,0,0,0,0,0,0,0,0,0,2600,750,0,0,0,140,5000,16000,1460,576,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King Eider",0,0,"cw",0,0,0,1,0,1,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,22,0,0,0,"cw",2,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Common Eider",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harlequin Duck",0,"cw",0,0,0,0,0,1,0,"cw",0,0,0,1,"cw",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,"cw",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"cw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surf Scoter",24,54,31,59,137,34,181,22,132,59,224,45,5,127,125,76,48,93,26,2,2,3,0,0,1,0,0,0,0,0,"cw",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"cw",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"White-winged Scoter",276,409,504,701,474,576,667,379,704,62,937,1077,26,730,24,27,6,66,501,1,52,490,1,0,113,0,0,4,27,0,1,5,2,27,6,40,45,2,1,1,3,74,1,1,59,10,0,0,0,3,0,64,62,2,5,0,9,275,3,3,4,107,12,"cw",2,0,24,2,1,0,0,1,2,11,12,6,20,0,0,0,0,0,0,57,1,1,0,0,0,0,0,0
"Black Scoter",6,87,4,6,2,1,5,8,4,2,17,4,3,5,16,3,10,17,30,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"cw",0,0,0,0,0,0,"cw",0,0,0,1,"cw",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"scoter sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long-tailed Duck",2307,5115,4110,374,21954,6805,9024,3967,7118,1580,24304,850,8812,17369,10500,337,12855,2171,285,37,105,516,3,16,31,13,2,11,50,45,3,225,3,1075,225,250,500,65,48,180,96,270,25,5,110,11,100,35,150,54,17,57,550,32,11,145,27,600,491,90,5,70,37,2,2,5,31,8,29,56,1,14,7,19,1,5,2,9,2,35,8,12,12,70,3,25,0,0,0,0,0,0
"Bufflehead",422,360,321,377,479,251,373,449,598,375,655,406,670,682,551,311,925,711,650,313,371,573,247,249,245,104,150,243,254,199,110,101,53,168,172,155,485,181,96,200,95,49,42,42,32,47,63,61,59,54,100,54,41,17,27,15,48,12,21,10,16,16,68,41,13,6,2,10,3,3,2,5,4,1,9,14,1,1,6,0,1,1,1,1,0,0,0,0,0,0,0,0
